state,state_code_census,state_code_plfs,district_name_standard,census_district_code,plfs_2019_code,plfs_2021_code,plfs_2021_code_status,plfs_2023_code,bharatnet_district_name,bharatnet_treatment,state_group,boundary_note,panel_usable_2x2,panel_usable_3period,data_quality_flag
Karnataka,29,29,Uttara Kannada,29-229,29.0,29.0,PROBABLE_b1q4_perrv,29.0,Uttar Kannada,mid,high_connectivity,Spelling variant in older sources,True,True,SPELLING_MISMATCH
Karnataka,29,29,Yadgir,29-230,30.0,30.0,PROBABLE_b1q4_perrv,30.0,Yadgir,late,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Vijayanagara,29-231,,,MISSING,31.0,Vijayanagara,late,high_connectivity,NEW DISTRICT: carved from Ballari in 2021. NO 2019-20 code. Use Ballari (code 6) as proxy for pre-period.,False,False,INCOMPLETE
Bihar,10,10,Araria,10-209,1.0,1.0,PROBABLE_b1q4_perrv,1.0,Araria,late,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Arwal,10-240,2.0,2.0,PROBABLE_b1q4_perrv,2.0,Arwal,mid,low_connectivity,Created from Jehanabad 2001,True,True,VERIFIED
Bihar,10,10,Aurangabad,10-235,,,MISSING,,Aurangabad,mid,low_connectivity,MISSING from PLFS 2019-20 and 2023-24 samples — excluded from panel,False,False,INCOMPLETE
Bihar,10,10,Banka,10-225,4.0,4.0,PROBABLE_b1q4_perrv,,Banka,late,low_connectivity,Not in 2023-24 sample,False,False,MISSING_FROM_SAMPLE
Bihar,10,10,Begusarai,10-222,5.0,5.0,PROBABLE_b1q4_perrv,5.0,Begusarai,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Bhagalpur,10-224,6.0,6.0,PROBABLE_b1q4_perrv,,Bhagalpur,early,low_connectivity,Not in 2023-24 sample,False,False,MISSING_FROM_SAMPLE
Bihar,10,10,Bhojpur,10-231,7.0,7.0,PROBABLE_b1q4_perrv,7.0,Bhojpur,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Buxar,10-232,8.0,8.0,PROBABLE_b1q4_perrv,8.0,Buxar,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Darbhanga,10-215,9.0,9.0,PROBABLE_b1q4_perrv,9.0,Darbhanga,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Gaya,10-236,10.0,10.0,PROBABLE_b1q4_perrv,10.0,Gaya,early,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Gopalganj,10-217,11.0,11.0,PROBABLE_b1q4_perrv,11.0,Gopalganj,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Jamui,10-238,12.0,12.0,PROBABLE_b1q4_perrv,12.0,Jamui,late,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Jehanabad,10-239,13.0,13.0,PROBABLE_b1q4_perrv,13.0,Jehanabad,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Kaimur,10-233,14.0,14.0,PROBABLE_b1q4_perrv,14.0,Kaimur (Bhabua),late,low_connectivity,Census name: Kaimur (Bhabua),True,True,SPELLING_MISMATCH
Bihar,10,10,Katihar,10-212,15.0,15.0,PROBABLE_b1q4_perrv,15.0,Katihar,late,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Khagaria,10-223,16.0,16.0,PROBABLE_b1q4_perrv,16.0,Khagaria,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Kishanganj,10-210,17.0,17.0,PROBABLE_b1q4_perrv,17.0,Kishanganj,late,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Lakhisarai,10-227,18.0,18.0,PROBABLE_b1q4_perrv,18.0,Lakhisarai,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Madhepura,10-213,19.0,19.0,PROBABLE_b1q4_perrv,19.0,Madhepura,late,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Madhubani,10-207,20.0,20.0,PROBABLE_b1q4_perrv,20.0,Madhubani,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Munger,10-226,21.0,21.0,PROBABLE_b1q4_perrv,21.0,Munger,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Muzaffarpur,10-216,22.0,22.0,PROBABLE_b1q4_perrv,22.0,Muzaffarpur,early,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Nalanda,10-229,23.0,23.0,PROBABLE_b1q4_perrv,,Nalanda,early,low_connectivity,Not in 2023-24 sample,False,False,MISSING_FROM_SAMPLE
Bihar,10,10,Nawada,10-237,24.0,24.0,PROBABLE_b1q4_perrv,24.0,Nawada,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Pashchim Champaran,10-203,25.0,25.0,PROBABLE_b1q4_perrv,25.0,West Champaran,late,low_connectivity,Census: Pashchim Champaran,True,True,SPELLING_MISMATCH
Bihar,10,10,Patna,10-230,26.0,26.0,PROBABLE_b1q4_perrv,26.0,Patna,early,low_connectivity,State capital,True,True,VERIFIED
Bihar,10,10,Purba Champaran,10-204,27.0,27.0,PROBABLE_b1q4_perrv,27.0,East Champaran,late,low_connectivity,Census: Purba Champaran,True,True,SPELLING_MISMATCH
Bihar,10,10,Purnia,10-211,28.0,28.0,PROBABLE_b1q4_perrv,28.0,Purnia,mid,low_connectivity,Large PLFS sample (n≈4000),True,True,VERIFIED
Bihar,10,10,Rohtas,10-234,29.0,29.0,PROBABLE_b1q4_perrv,29.0,Rohtas,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Saharsa,10-214,30.0,30.0,PROBABLE_b1q4_perrv,30.0,Saharsa,late,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Samastipur,10-221,31.0,31.0,PROBABLE_b1q4_perrv,31.0,Samastipur,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Saran,10-219,32.0,32.0,PROBABLE_b1q4_perrv,32.0,Saran,mid,low_connectivity,Also known as Chapra,True,True,VERIFIED
Bihar,10,10,Sheikhpura,10-228,33.0,33.0,PROBABLE_b1q4_perrv,33.0,Sheikhpura,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Sheohar,10-205,34.0,34.0,PROBABLE_b1q4_perrv,34.0,Sheohar,late,low_connectivity,Smallest district in Bihar,True,True,VERIFIED
Bihar,10,10,Sitamarhi,10-206,35.0,35.0,PROBABLE_b1q4_perrv,35.0,Sitamarhi,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Siwan,10-218,36.0,36.0,PROBABLE_b1q4_perrv,36.0,Siwan,mid,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Supaul,10-208,37.0,37.0,PROBABLE_b1q4_perrv,37.0,Supaul,late,low_connectivity,,True,True,VERIFIED
Bihar,10,10,Vaishali,10-220,38.0,38.0,PROBABLE_b1q4_perrv,38.0,Vaishali,mid,low_connectivity,,True,True,VERIFIED
Rajasthan,8,8,Ajmer,8-119,1.0,1.0,PROBABLE_b1q4_perrv,1.0,Ajmer,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Alwar,8-104,2.0,2.0,PROBABLE_b1q4_perrv,2.0,Alwar,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Banswara,8-125,3.0,3.0,PROBABLE_b1q4_perrv,3.0,Banswara,late,intermediate,High tribal population,True,True,VERIFIED
Rajasthan,8,8,Baran,8-128,4.0,4.0,PROBABLE_b1q4_perrv,4.0,Baran,late,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Barmer,8-115,5.0,5.0,PROBABLE_b1q4_perrv,5.0,Barmer,late,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Bharatpur,8-105,6.0,6.0,PROBABLE_b1q4_perrv,6.0,Bharatpur,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Bhilwara,8-122,7.0,7.0,PROBABLE_b1q4_perrv,7.0,Bhilwara,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Bikaner,8-101,8.0,8.0,PROBABLE_b1q4_perrv,8.0,Bikaner,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Bundi,8-121,9.0,9.0,PROBABLE_b1q4_perrv,9.0,Bundi,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Chittaurgarh,8-126,10.0,10.0,PROBABLE_b1q4_perrv,10.0,Chittorgarh,late,intermediate,Census: Chittaurgarh,True,True,SPELLING_MISMATCH
Rajasthan,8,8,Churu,8-102,11.0,11.0,PROBABLE_b1q4_perrv,11.0,Churu,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Dausa,8-109,12.0,12.0,PROBABLE_b1q4_perrv,12.0,Dausa,mid,intermediate,Large PLFS sample (n≈4800),True,True,VERIFIED
Rajasthan,8,8,Dhaulpur,8-106,13.0,13.0,PROBABLE_b1q4_perrv,13.0,Dholpur,mid,intermediate,Census: Dhaulpur; common variant: Dholpur,True,True,SPELLING_MISMATCH
Rajasthan,8,8,Dungarpur,8-124,14.0,14.0,PROBABLE_b1q4_perrv,14.0,Dungarpur,late,intermediate,High tribal population,True,True,VERIFIED
Rajasthan,8,8,Ganganagar,8-099,15.0,15.0,PROBABLE_b1q4_perrv,15.0,Ganganagar,early,intermediate,Also Sri Ganganagar; Census code 099,True,True,VERIFIED
Rajasthan,8,8,Hanumangarh,8-100,16.0,16.0,PROBABLE_b1q4_perrv,,Hanumangarh,early,intermediate,Not in 2023-24 PLFS sample,False,False,MISSING_FROM_SAMPLE
Rajasthan,8,8,Jaipur,8-110,17.0,17.0,PROBABLE_b1q4_perrv,17.0,Jaipur,early,intermediate,State capital — urban-influenced,True,True,VERIFIED
Rajasthan,8,8,Jaisalmer,8-114,18.0,18.0,PROBABLE_b1q4_perrv,18.0,Jaisalmer,late,intermediate,Very low population density,True,True,VERIFIED
Rajasthan,8,8,Jalor,8-116,19.0,19.0,PROBABLE_b1q4_perrv,19.0,Jalore,late,intermediate,Census: Jalor,True,True,SPELLING_MISMATCH
Rajasthan,8,8,Jhalawar,8-129,20.0,20.0,PROBABLE_b1q4_perrv,20.0,Jhalawar,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Jhunjhunun,8-103,21.0,21.0,PROBABLE_b1q4_perrv,21.0,Jhunjhunu,mid,intermediate,Census: Jhunjhunun,True,True,SPELLING_MISMATCH
Rajasthan,8,8,Jodhpur,8-113,22.0,22.0,PROBABLE_b1q4_perrv,22.0,Jodhpur,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Karauli,8-107,23.0,23.0,PROBABLE_b1q4_perrv,23.0,Karauli,late,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Kota,8-127,24.0,24.0,PROBABLE_b1q4_perrv,24.0,Kota,early,intermediate,Industrial city,True,True,VERIFIED
Rajasthan,8,8,Nagaur,8-112,25.0,25.0,PROBABLE_b1q4_perrv,25.0,Nagaur,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Pali,8-118,26.0,26.0,PROBABLE_b1q4_perrv,26.0,Pali,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Pratapgarh,8-131,27.0,27.0,PROBABLE_b1q4_perrv,27.0,Pratapgarh,late,intermediate,Created 2008; in all PLFS rounds,True,True,VERIFIED
Rajasthan,8,8,Rajsamand,8-123,28.0,28.0,PROBABLE_b1q4_perrv,28.0,Rajsamand,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Sawai Madhopur,8-108,29.0,29.0,PROBABLE_b1q4_perrv,29.0,Sawai Madhopur,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Sikar,8-111,30.0,30.0,PROBABLE_b1q4_perrv,30.0,Sikar,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Sirohi,8-117,31.0,31.0,PROBABLE_b1q4_perrv,31.0,Sirohi,late,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Tonk,8-120,32.0,32.0,PROBABLE_b1q4_perrv,32.0,Tonk,mid,intermediate,,True,True,VERIFIED
Rajasthan,8,8,Udaipur,8-130,33.0,33.0,PROBABLE_b1q4_perrv,33.0,Udaipur,mid,intermediate,,True,True,VERIFIED
